Specimen properties : Specimen label,"4A"
Test : Rate 1,"1.00000",mm/min
Specimen properties : Thickness,"8.42000",mm
Specimen properties : Width,"9.93000",mm
Specimen properties : Support span,"32.00000",mm
Specimen properties : Fixture type,3-point
Specimen notes : Specimen note 1,""
General : End date,"Thursday, March 27, 2025 8:25:52 PM"

Time,Extension,Load,Flexure strain (Extension),Flexure stress,Flexure extension
(s),(mm),(N),(mm/mm),(MPa),(mm)
"30.10000","0.50054","668.42169","0.02469","45.57412","0.50039"
"30.20000","0.50205","669.96918","0.02476","45.67963","0.50189"
"30.30000","0.50412","673.35229","0.02486","45.91030","0.50397"
"30.40000","0.50556","674.86432","0.02493","46.01339","0.50541"
"30.50000","0.50701","676.33398","0.02501","46.11360","0.50686"
"30.60000","0.50899","679.44189","0.02510","46.32550","0.50884"
"30.70000","0.51078","681.79645","0.02519","46.48604","0.51063"
"30.80000","0.51218","683.06543","0.02526","46.57256","0.51203"
"30.90000","0.51373","684.91077","0.02534","46.69838","0.51358"
"31.00000","0.51580","688.03278","0.02544","46.91124","0.51565"
"31.10000","0.51720","689.38580","0.02551","47.00349","0.51705"
"31.20000","0.51867","691.01562","0.02558","47.11462","0.51852"
"31.30000","0.52072","694.20575","0.02568","47.33213","0.52057"
"31.40000","0.52244","696.33197","0.02577","47.47710","0.52229"
"31.50000","0.52380","697.56702","0.02583","47.56130","0.52365"
"31.60000","0.52543","699.55554","0.02592","47.69688","0.52528"
"31.70000","0.52748","702.71149","0.02602","47.91206","0.52733"
"31.80000","0.52886","703.99530","0.02608","47.99960","0.52871"
"31.90000","0.53035","705.59052","0.02616","48.10836","0.53020"
"32.00000","0.53245","708.88098","0.02626","48.33271","0.53230"
"32.10000","0.53404","710.64618","0.02634","48.45306","0.53389"
"32.20000","0.53544","712.00964","0.02641","48.54602","0.53528"
"32.30000","0.53715","714.20386","0.02649","48.69563","0.53700"
"32.40000","0.53913","717.24347","0.02659","48.90288","0.53898"
"32.50000","0.54051","718.36963","0.02666","48.97966","0.54036"
"32.60000","0.54201","720.06702","0.02673","49.09539","0.54186"
"32.70000","0.54423","723.83301","0.02684","49.35216","0.54408"
"32.80000","0.54565","724.99500","0.02691","49.43139","0.54550"
"32.90000","0.54705","726.27490","0.02698","49.51865","0.54690"
"33.00000","0.54883","728.73401","0.02707","49.68632","0.54868"
"33.10000","0.55076","731.43976","0.02716","49.87080","0.55061"
"33.20000","0.55216","732.70801","0.02723","49.95728","0.55201"
"33.30000","0.55366","734.51593","0.02731","50.08054","0.55351"
"33.40000","0.55592","738.20270","0.02742","50.33191","0.55577"
"33.50000","0.55729","739.41492","0.02749","50.41456","0.55714"
"33.60000","0.55874","740.85205","0.02756","50.51255","0.55859"
"33.70000","0.56054","743.36115","0.02765","50.68362","0.56039"
"33.80000","0.56234","745.73529","0.02774","50.84550","0.56219"
"33.90000","0.56379","747.20282","0.02781","50.94556","0.56364"
"34.00000","0.56540","749.09601","0.02789","51.07464","0.56525"
"34.10000","0.56764","752.86285","0.02800","51.33147","0.56748"
"34.20000","0.56893","753.68176","0.02806","51.38730","0.56877"
"34.30000","0.57037","755.15778","0.02813","51.48794","0.57022"
"34.40000","0.57224","757.86340","0.02822","51.67241","0.57209"
"34.50000","0.57402","760.28363","0.02831","51.83743","0.57387"
"34.60000","0.57548","761.63196","0.02838","51.92936","0.57533"
"34.70000","0.57709","763.66492","0.02846","52.06797","0.57694"
"34.80000","0.57922","767.07733","0.02857","52.30063","0.57907"
"34.90000","0.58057","768.14929","0.02864","52.37372","0.58042"
"35.00000","0.58206","769.69873","0.02871","52.47937","0.58191"
"35.10000","0.58402","772.62524","0.02881","52.67890","0.58387"
"35.20000","0.58562","774.43317","0.02888","52.80217","0.58547"
"35.30000","0.58711","775.84058","0.02896","52.89813","0.58696"
"35.40000","0.58884","778.09155","0.02904","53.05160","0.58869"
"35.50000","0.59088","781.20483","0.02914","53.26387","0.59073"
"35.60000","0.59223","782.27014","0.02921","53.33651","0.59208"
"35.70000","0.59374","783.95496","0.02929","53.45138","0.59359"
"35.80000","0.59569","786.72076","0.02938","53.63996","0.59554"
"35.90000","0.59724","788.52716","0.02946","53.76312","0.59709"
"36.00000","0.59873","789.98926","0.02953","53.86281","0.59858"
"36.10000","0.60054","792.55176","0.02962","54.03753","0.60039"
"36.20000","0.60250","795.42340","0.02972","54.23332","0.60235"
"36.30000","0.60391","796.55573","0.02979","54.31052","0.60376"
"36.40000","0.60539","798.12231","0.02986","54.41734","0.60524"
"36.50000","0.60734","801.09595","0.02996","54.62008","0.60718"
"36.60000","0.60884","802.50769","0.03003","54.71634","0.60869"
"36.70000","0.61038","804.17554","0.03011","54.83005","0.61022"
"36.80000","0.61235","807.19275","0.03020","55.03577","0.61220"
"36.90000","0.61413","809.34680","0.03029","55.18264","0.61398"
"37.00000","0.61554","810.56189","0.03036","55.26548","0.61539"
"37.10000","0.61706","812.25482","0.03044","55.38091","0.61691"
"37.20000","0.61907","815.37769","0.03054","55.59383","0.61892"
"37.30000","0.62054","816.68634","0.03061","55.68306","0.62039"
"37.40000","0.62203","818.21606","0.03068","55.78736","0.62188"
"37.50000","0.62405","821.43231","0.03078","56.00665","0.62390"
"37.60000","0.62575","823.33777","0.03086","56.13657","0.62560"
"37.70000","0.62720","824.66315","0.03094","56.22693","0.62705"
"37.80000","0.62881","826.50183","0.03102","56.35230","0.62866"
"37.90000","0.63070","829.15063","0.03111","56.53290","0.63055"
"38.00000","0.63216","830.53845","0.03118","56.62752","0.63201"
"38.10000","0.63372","832.22504","0.03126","56.74252","0.63357"
"38.20000","0.63586","835.70490","0.03136","56.97978","0.63571"
"38.30000","0.63738","837.10748","0.03144","57.07541","0.63723"
"38.40000","0.63881","838.36169","0.03151","57.16092","0.63865"
"38.50000","0.64044","840.46155","0.03159","57.30410","0.64029"
"38.60000","0.64242","843.33728","0.03169","57.50017","0.64227"
"38.70000","0.64382","844.39789","0.03176","57.57248","0.64367"
"38.80000","0.64534","845.98352","0.03183","57.68059","0.64519"
"38.90000","0.64758","849.83551","0.03194","57.94323","0.64743"
"39.00000","0.64903","850.98303","0.03201","58.02147","0.64888"
"39.10000","0.65047","852.31036","0.03208","58.11197","0.65032"
"39.20000","0.65215","854.43286","0.03217","58.25668","0.65200"
"39.30000","0.65398","856.79944","0.03226","58.41804","0.65382"
"39.40000","0.65549","858.31403","0.03233","58.52131","0.65534"
"39.50000","0.65705","860.08124","0.03241","58.64180","0.65690"
"39.60000","0.65923","863.64227","0.03252","58.88459","0.65908"
"39.70000","0.66063","864.59210","0.03259","58.94936","0.66048"
"39.80000","0.66209","866.12891","0.03266","59.05414","0.66194"
"39.90000","0.66395","868.66992","0.03275","59.22739","0.66380"
"40.00000","0.66565","870.63519","0.03283","59.36139","0.66550"
"40.10000","0.66710","871.96118","0.03290","59.45179","0.66695"
"40.20000","0.66869","873.72662","0.03298","59.57216","0.66854"
"40.30000","0.67093","877.50696","0.03309","59.82991","0.67078"
"40.40000","0.67232","878.50281","0.03316","59.89781","0.67217"
"40.50000","0.67377","879.81763","0.03323","59.98746","0.67362"
"40.60000","0.67561","882.33368","0.03332","60.15901","0.67546"
"40.70000","0.67730","884.27032","0.03341","60.29105","0.67715"
"40.80000","0.67875","885.55731","0.03348","60.37880","0.67860"
